"Time (s)","X (m/s2)","Y (m/s2)","Z (m/s2)"
-3.424999959E-4,9.565109253E-2,-9.820178833E0,-1.736389160E-1
9.619500001E-3,8.023315430E-2,-9.814041595E0,-2.224374390E-1
1.958150000E-2,5.224136353E-2,-9.830806732E0,-2.158511353E-1
2.954250000E-2,2.874023438E-2,-9.839039612E0,-2.228865051E-1
3.950450000E-2,3.442840576E-3,-9.805958405E0,-2.444416809E-1
4.946650000E-2,-1.930984497E-2,-9.777218170E0,-2.493814087E-1
5.942750000E-2,-2.484832764E-2,-9.810748444E0,-3.170407104E-1
6.938950000E-2,-2.035766602E-2,-9.835746460E0,-3.685336304E-1
7.935150000E-2,1.736389160E-2,-9.843230896E0,-3.507206726E-1
8.931250000E-2,6.780899048E-2,-9.822274475E0,-2.975811768E-1
9.927450000E-2,1.222956848E-1,-9.831555176E0,-2.478845215E-1
1.092357917E-1,1.577719116E-1,-9.844877472E0,-1.710942078E-1
1.191967917E-1,1.818717957E-1,-9.820927277E0,-7.110214233E-2
1.291587917E-1,1.850152588E-1,-9.789193268E0,2.963836670E-2
1.391207917E-1,1.658551025E-1,-9.760003967E0,1.001417542E-1
1.490817917E-1,1.152603149E-1,-9.735005951E0,1.683998108E-1
1.590437917E-1,5.673202515E-2,-9.709409180E0,1.803749084E-1
1.690057917E-1,-2.095642090E-2,-9.732461243E0,1.396595764E-1
1.789677917E-1,-4.565505981E-2,-9.823322296E0,1.305285645E-1
1.889287917E-1,-1.005908203E-1,-9.893825684E0,1.056802368E-1
1.988907917E-1,-1.251397705E-1,-9.907896423E0,9.490264893E-2
2.088527917E-1,-1.097218323E-1,-9.863887939E0,6.900650024E-2
2.188137917E-1,-1.133143616E-1,-9.766290894E0,4.385879517E-2
2.287757917E-1,-8.846603394E-2,-9.721983032E0,1.496887207E-2
2.387377917E-1,-6.646179199E-2,-9.751022644E0,-2.230361938E-2
2.486987917E-1,-1.945953369E-3,-9.817035370E0,-4.879852295E-2
2.586607917E-1,5.164260864E-2,-9.870474243E0,8.232879639E-3
2.686227917E-1,1.613644409E-1,-9.890083466E0,4.984634399E-2
2.785837917E-1,2.716850281E-1,-9.907746735E0,2.859054565E-2
2.885457917E-1,3.564088440E-1,-9.889784088E0,-5.328918457E-2
2.985077917E-1,3.739224243E-1,-9.838590546E0,-4.655319214E-2
3.084687917E-1,3.182382202E-1,-9.800719299E0,5.343887329E-2
3.184307917E-1,2.779719543E-1,-9.788744202E0,1.540296936E-1
3.283927917E-1,2.496807861E-1,-9.810299377E0,1.579216003E-1
3.383547917E-1,2.820135498E-1,-9.818981323E0,4.161346436E-2
3.483157917E-1,3.372486877E-1,-9.821076965E0,-9.250762939E-2
3.582777917E-1,2.742297363E-1,-9.716594238E0,-1.194515991E-1
3.682397917E-1,1.163081360E-1,-9.604327698E0,-8.217910767E-2
3.782007917E-1,-3.367996216E-2,-9.581575012E0,-1.851649475E-1
3.881627917E-1,-1.537303162E-1,-9.654772797E0,-4.411326599E-1
3.981247917E-1,-2.483335876E-1,-9.756710815E0,-7.547305298E-1
4.080857917E-1,-4.070036316E-1,-9.830357666E0,-1.160536652E0
4.180477917E-1,-5.757028198E-1,-9.868079224E0,-1.622775421E0
4.280097917E-1,-6.725514221E-1,-9.824070740E0,-1.994003448E0
4.379707917E-1,-7.702981567E-1,-9.636061707E0,-2.171384583E0
4.479327917E-1,-8.189469910E-1,-9.277108154E0,-2.160906372E0
4.578947917E-1,-6.941065979E-1,-8.918304291E0,-1.828447723E0
4.678557917E-1,-4.803511047E-1,-8.412655792E0,-1.283431091E0
4.778177917E-1,-3.580554199E-1,-8.002808075E0,-1.107097778E0
4.877797917E-1,-1.695973206E-1,-7.736362152E0,-1.428180084E0
4.977417917E-1,-1.127156067E-1,-7.608228607E0,-2.051034851E0
5.077027917E-1,-2.424957275E-2,-7.512278137E0,-2.456391907E0
5.176647917E-1,1.499880981E-1,-7.242688751E0,-2.309098206E0
5.276267917E-1,3.546125793E-1,-6.867269440E0,-1.734892273E0
5.375877917E-1,5.057981873E-1,-6.571035461E0,-1.408570862E0
5.475497917E-1,6.902146912E-1,-6.256090393E0,-1.621278534E0
5.575117917E-1,7.292834473E-1,-5.809868317E0,-2.173779602E0
5.674727917E-1,7.955955505E-1,-5.449118500E0,-2.249222717E0
5.774347917E-1,1.014290771E0,-5.246439972E0,-1.722468109E0
5.873967917E-1,1.066532135E0,-5.087470551E0,-1.276246033E0
5.973577917E-1,6.848258972E-1,-5.177882538E0,-1.264270935E0
6.073197917E-1,3.218307495E-2,-5.777834930E0,-1.975442047E0
6.172817917E-1,-2.442919922E-1,-6.774462433E0,-2.627037048E0
6.272427917E-1,-3.873944092E-1,-7.614216156E0,-2.940485229E0
6.372047917E-1,-5.149291992E-1,-7.879015503E0,-3.004252625E0
6.471667917E-1,-2.770738220E-1,-7.934999084E0,-2.681074677E0
6.571287917E-1,8.981323242E-3,-8.204139404E0,-2.438728638E0
6.670897917E-1,1.847158813E-1,-8.547675018E0,-2.209704895E0
6.770517917E-1,9.265731812E-2,-9.501042480E0,-2.947370911E0
6.870137917E-1,-1.932481384E-1,-1.105017105E1,-5.184319153E0
6.969747917E-1,-3.376977539E-1,-1.265034348E1,-6.215674438E0
7.069367917E-1,-2.511776733E-1,-1.350880829E1,-5.772296448E0
7.168987917E-1,-5.511538696E-1,-1.356988129E1,-5.090614014E0
7.268597917E-1,-9.409432983E-1,-1.361912888E1,-5.089715881E0
7.368217917E-1,-1.012195129E0,-1.404798706E1,-6.174060974E0
7.467837917E-1,-1.523831177E-1,-1.466036362E1,-6.852300568E0
7.567447917E-1,1.307530975E0,-1.521750504E1,-6.512806549E0
7.667067917E-1,2.496059418E0,-1.587568634E1,-6.939868469E0
7.766687917E-1,2.745590515E0,-1.668295761E1,-6.686744843E0
