"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.351250001E-3,-4.176315308E-2,-9.803264008E0,-1.466949463E-1
8.610750003E-3,-8.966354370E-2,-9.798324280E0,-1.712438965E-1
1.857275000E-2,-1.261875916E-1,-9.824070740E0,-2.043251038E-1
2.853375000E-2,-1.520837402E-1,-9.877060547E0,-2.335144043E-1
3.849575000E-2,-1.570234680E-1,-9.895771637E0,-2.830613708E-1
4.845675000E-2,-1.603166199E-1,-9.882599030E0,-3.574566650E-1
5.841875000E-2,-1.577719116E-1,-9.852810974E0,-3.776646423E-1
6.837975000E-2,-1.191522217E-1,-9.829160156E0,-3.752696228E-1
7.834175000E-2,-1.032852173E-1,-9.818532257E0,-3.553610229E-1
8.830375000E-2,-1.008901978E-1,-9.773775330E0,-3.330574036E-1
9.826475000E-2,-1.113684082E-1,-9.752818909E0,-3.002755737E-1
1.082267500E-1,-1.193019104E-1,-9.769733734E0,-2.585124207E-1
1.181877500E-1,-1.261875916E-1,-9.770332489E0,-2.065704346E-1
1.281497500E-1,-1.522334290E-1,-9.752369843E0,-1.880090332E-1
1.381107500E-1,-2.168989563E-1,-9.747280426E0,-1.261875916E-1
1.480727500E-1,-2.727328491E-1,-9.746531982E0,-1.249900818E-1
1.580347500E-1,-3.353027344E-1,-9.752070465E0,-1.450483704E-1
1.679957500E-1,-3.954776001E-1,-9.763895874E0,-1.683998108E-1
1.779577500E-1,-4.064048767E-1,-9.764045563E0,-2.200424194E-1
1.879187500E-1,-3.912863159E-1,-9.736951904E0,-2.421963501E-1
1.978807500E-1,-3.233276367E-1,-9.720635834E0,-2.089654541E-1
2.078417500E-1,-2.636018372E-1,-9.723180542E0,-1.525328064E-1
2.178037500E-1,-2.079176331E-1,-9.710606689E0,-1.133143616E-1
2.277657500E-1,-1.625619507E-1,-9.742789764E0,-1.383123779E-1
2.377267500E-1,-1.233435059E-1,-9.790989532E0,-2.177970886E-1
2.476887500E-1,-1.079255676E-1,-9.827064514E0,-3.212319946E-1
2.576497500E-1,-5.463638306E-2,-9.795779572E0,-4.008663940E-1
2.676117500E-1,-7.185058594E-3,-9.731862488E0,-4.168830872E-1
2.775727500E-1,8.232879639E-3,-9.732461243E0,-3.546125793E-1
2.875347500E-1,3.547622681E-2,-9.796528015E0,-2.679428101E-1
2.974957500E-1,5.912704468E-2,-9.818532257E0,-2.302212524E-1
3.074577500E-1,9.580078125E-2,-9.746531982E0,-2.261796570E-1
3.174197500E-1,1.416055298E-1,-9.624984741E0,-2.507286072E-1
3.273807500E-1,1.460961914E-1,-9.511221313E0,-3.323089600E-1
3.373427500E-1,1.945953369E-1,-9.416917419E0,-4.432283020E-1
3.473037500E-1,2.218386841E-1,-9.358688507E0,-6.294410706E-1
3.572657500E-1,2.243833923E-1,-9.368867340E0,-8.104147339E-1
3.672267500E-1,9.684860229E-2,-9.508377228E0,-1.071322174E0
3.771887500E-1,-1.448986816E-1,-9.702972565E0,-1.465003510E0
3.871507500E-1,-4.412823486E-1,-9.772727509E0,-1.927541656E0
3.971117500E-1,-8.026309204E-1,-9.562714233E0,-2.412982178E0
4.070737500E-1,-1.241069183E0,-9.190438385E0,-2.797382812E0
4.170347500E-1,-1.572629700E0,-8.602461090E0,-2.973416748E0
4.269967500E-1,-1.699416046E0,-7.948920135E0,-2.815944214E0
4.369577500E-1,-1.554667053E0,-7.317233734E0,-2.172133026E0
4.469197500E-1,-1.388063507E0,-6.726412354E0,-1.870809631E0
4.568817500E-1,-1.100511475E0,-6.300248566E0,-1.605112152E0
