"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.881249988E-4,5.730982361E0,-8.164471893E0,-2.802172852E-1
1.044912499E-2,5.556894379E0,-7.948620758E0,7.409591675E-2
2.041112500E-2,5.844596100E0,-7.810907135E0,2.981799316E-1
3.037312500E-2,5.853128357E0,-7.806117096E0,2.686912537E-1
4.033512500E-2,5.889951782E0,-7.746091919E0,2.155517578E-1
5.029712500E-2,5.927523651E0,-7.804320831E0,4.370910645E-2
6.025812500E-2,5.947731628E0,-7.868387604E0,-1.127156067E-1
7.022012500E-2,5.937253418E0,-7.886949005E0,-2.034269714E-1
8.018212500E-2,5.804928589E0,-7.854167175E0,-3.073109436E-1
9.014412500E-2,5.794749756E0,-7.922275543E0,-3.103047180E-1
1.001061250E-1,5.894292755E0,-7.959697723E0,-2.704875183E-1
1.100681250E-1,5.850583649E0,-7.925718384E0,-1.901046753E-1
1.200291250E-1,5.677393799E0,-7.958350525E0,-1.011895752E-1
1.299911250E-1,5.578000488E0,-8.020471344E0,-3.547622681E-2
1.399531250E-1,5.543721771E0,-8.115972748E0,3.936813354E-2
1.499151250E-1,5.497168579E0,-8.204738159E0,1.056802368E-1
1.598771250E-1,5.376519470E0,-8.240962830E0,1.041833496E-1
1.698381250E-1,5.216053162E0,-8.204139404E0,5.703140259E-2
1.798001250E-1,5.128634949E0,-8.238268433E0,6.930587769E-2
1.897621250E-1,5.061873779E0,-8.335416412E0,1.222956848E-1
1.997241250E-1,5.146597595E0,-8.218359833E0,1.733395386E-1
2.096861250E-1,5.260510712E0,-8.214168549E0,1.428030396E-1
2.196471250E-1,5.441184998E0,-8.210875397E0,1.252894592E-1
2.296091250E-1,5.516179047E0,-8.148754578E0,8.562194824E-2
2.395711250E-1,5.429060211E0,-8.103997650E0,1.287322998E-2
2.495331250E-1,5.467679901E0,-8.043373718E0,-3.532653809E-2
2.594951250E-1,5.398673401E0,-7.898624725E0,-1.055305481E-1
2.694571250E-1,5.313201141E0,-7.846083984E0,-2.526745605E-1
2.794181250E-1,5.281616821E0,-7.733069000E0,-4.849914551E-1
2.893801250E-1,5.448519745E0,-7.574249268E0,-5.453160095E-1
2.993421250E-1,5.723048859E0,-7.775281219E0,-7.442523193E-1
3.093041250E-1,6.008954315E0,-8.139174500E0,-1.146016846E0
3.192661250E-1,6.067931671E0,-8.275690613E0,-7.460485840E-1
3.292271250E-1,5.998925171E0,-8.250991974E0,-1.598675537E-1
3.391891250E-1,5.934858398E0,-8.345744934E0,3.308120728E-2
3.491511250E-1,5.774242401E0,-8.437354431E0,-1.077758789E-1
3.591131250E-1,5.479505310E0,-8.121511230E0,1.435514832E-1
3.690751250E-1,5.491031342E0,-7.321425018E0,9.768685913E-1
3.790361250E-1,5.613776093E0,-7.336094513E0,1.146016846E0
3.889981250E-1,5.472320251E0,-8.033045197E0,8.548722839E-1
3.989601250E-1,5.290149078E0,-8.710386658E0,5.996530151E-1
4.089221250E-1,4.890629883E0,-9.281299438E0,-4.083508301E-1
4.188841250E-1,4.706213379E0,-9.170529785E0,-1.459015961E0
4.288451250E-1,5.104834442E0,-8.383915558E0,-1.591340790E0
4.388071250E-1,5.443879395E0,-7.830965424E0,-1.065334625E0
4.487691250E-1,5.613327026E0,-7.472760315E0,-1.480421448E-1
4.587311250E-1,5.782475281E0,-7.298971710E0,6.462062073E-1
4.686931250E-1,5.916147308E0,-7.154372406E0,1.059496765E0
4.786551250E-1,6.049819336E0,-7.185208282E0,8.530760193E-1
4.886161250E-1,6.022725677E0,-7.399263153E0,1.149609375E-1
4.985781250E-1,5.865552521E0,-7.699089661E0,-7.454498291E-1
5.085401250E-1,5.789510651E0,-8.039631500E0,-1.558708649E0
5.185021250E-1,5.770649872E0,-8.296647034E0,-1.726659393E0
5.284641250E-1,5.617518311E0,-8.334218903E0,-1.124761047E0
5.384258750E-1,5.414390717E0,-8.204588470E0,-4.938230896E-1
5.483878750E-1,5.147795105E0,-8.013585663E0,-1.910028076E-1
5.583498750E-1,4.967420197E0,-7.890691223E0,-1.920506287E-1
5.683118750E-1,4.862189026E0,-7.834857330E0,-5.794450378E-1
5.782738750E-1,4.751419373E0,-7.856262817E0,-9.452842712E-1
5.882358750E-1,4.734354858E0,-7.950866089E0,-9.801617432E-1
5.981968750E-1,4.749623108E0,-8.067772980E0,-8.316705322E-1
6.081588750E-1,4.780009918E0,-8.206833801E0,-8.333171082E-1
6.181208750E-1,4.789140930E0,-8.321195984E0,-9.749226379E-1
6.280828750E-1,4.787494354E0,-8.352630615E0,-1.073717194E0
6.380448750E-1,4.696333923E0,-8.252339172E0,-1.072669373E0
6.480058750E-1,4.601131897E0,-8.227041779E0,-1.005159760E0
6.579678750E-1,4.534071350E0,-8.381071472E0,-8.975335693E-1
6.679298750E-1,4.479884033E0,-8.609945526E0,-7.973918152E-1
6.778918750E-1,4.325405273E0,-8.847052460E0,-7.985893250E-1
6.878538750E-1,4.199517059E0,-9.113648071E0,-1.015488281E0
6.978158750E-1,4.108805695E0,-9.277557220E0,-1.386117554E0
7.077768750E-1,4.089346161E0,-9.285790100E0,-1.718276825E0
7.177388750E-1,4.004622345E0,-9.144184570E0,-1.772015076E0
7.277008750E-1,3.827390900E0,-9.041348419E0,-1.348096619E0
7.376628750E-1,3.797902222E0,-9.048084412E0,-7.327262878E-1
7.476248750E-1,4.033961334E0,-9.127269745E0,-3.610491943E-1
7.575858750E-1,4.254303131E0,-9.289532318E0,5.254074097E-2
7.675478750E-1,4.671784973E0,-9.339079285E0,1.420545959E-1
7.775098750E-1,5.346731415E0,-9.696985016E0,-2.163002014E-1
7.874718750E-1,6.067183228E0,-1.028840515E1,-6.023474121E-1
7.974338750E-1,6.621929626E0,-1.088656128E1,-9.862989807E-1
8.073948750E-1,6.958878937E0,-1.119985977E1,-1.575773163E0
8.173568750E-1,6.810088348E0,-1.112935638E1,-2.208657074E0
8.273188750E-1,6.355184326E0,-1.068163742E1,-2.323468323E0
8.372808750E-1,6.236181793E0,-1.079719711E1,-2.101030884E0
8.472428750E-1,5.774242401E0,-1.098086517E1,-2.058968353E0
8.572048750E-1,5.213209076E0,-1.084449875E1,-2.406395874E0
8.671658750E-1,4.583618317E0,-1.074899734E1,-3.043620758E0
8.771278750E-1,3.911216583E0,-1.070498886E1,-3.387904816E0
8.870898750E-1,3.171454926E0,-1.046174469E1,-3.256478119E0
8.970518750E-1,2.350262604E0,-9.861193542E0,-2.828518066E0
9.070138750E-1,1.735940094E0,-8.888366547E0,-2.265987854E0
9.169748750E-1,1.305734711E0,-7.799979858E0,-1.993704071E0
9.269368750E-1,1.171613617E0,-6.520889740E0,-2.023342438E0
9.368988750E-1,1.120120697E0,-5.072501678E0,-2.768492889E0
9.468608750E-1,1.487606506E0,-3.715872803E0,-4.164938965E0
9.568228750E-1,2.599194946E0,-2.909200287E0,-5.802533569E0
9.667848750E-1,3.900588684E0,-3.409759369E0,-5.379213867E0
9.767458750E-1,5.327571259E0,-4.246070251E0,-1.352886658E0
9.867078750E-1,6.462361450E0,-5.068609772E0,1.271306305E0
9.966698750E-1,6.896608429E0,-6.069428558E0,9.138496399E-1
1.006631875E0,7.366481323E0,-7.537425842E0,-1.047821045E-3
1.016593875E0,7.691006470E0,-9.121282196E0,-7.776329041E-1
1.026555875E0,7.253915405E0,-1.016745667E1,-1.033450928E0
1.036516875E0,7.044500885E0,-1.098999619E1,-2.109862518E0
1.046478875E0,7.158264313E0,-1.194081894E1,-4.090393982E0
1.056440875E0,7.441475372E0,-1.246712448E1,-4.942422180E0
1.066402875E0,7.759863281E0,-1.261381943E1,-5.394332428E0
1.076364875E0,7.728428650E0,-1.208272385E1,-5.854026489E0
1.086325875E0,8.066425781E0,-1.126437561E1,-6.218668213E0
1.096287875E0,7.728278961E0,-1.068029022E1,-6.176455994E0
1.106249875E0,7.250322876E0,-1.047865952E1,-5.921536102E0
1.116211875E0,6.728058929E0,-1.079195801E1,-6.007756805E0
1.126173875E0,6.350993042E0,-1.122081619E1,-6.011049957E0
1.136135875E0,6.151757355E0,-1.139191040E1,-5.749693451E0
1.146096875E0,6.240373077E0,-1.133712433E1,-5.921386414E0
1.156058875E0,5.903573456E0,-1.162527512E1,-6.175557861E0
1.166020875E0,5.420977020E0,-1.236892868E1,-6.200256500E0
1.175982875E0,5.239554291E0,-1.263986526E1,-6.193969574E0
1.185944875E0,5.060526581E0,-1.203602097E1,-6.107449493E0
1.195905875E0,5.141807556E0,-1.073417816E1,-5.749543762E0
1.205867875E0,5.764213257E0,-8.333171082E0,-5.126838684E0
1.215829875E0,5.881269836E0,-5.682183838E0,-4.258494415E0
1.225791875E0,5.242997131E0,-3.508703613E0,-3.500321045E0
1.235753875E0,4.901557159E0,-1.596430206E0,-3.023861847E0
1.245715875E0,4.762196960E0,-8.472381592E-2,-3.087778931E0
1.255676875E0,4.147126007E0,6.147715759E-1,-2.681074677E0
1.265638875E0,2.626587982E0,5.090913391E-1,-1.782642975E0
1.275600875E0,5.980064392E-1,-2.338137817E-1,-1.555265808E0
1.285562875E0,-1.021924896E0,-1.553020477E0,-2.262395325E0
1.295524875E0,-1.769170990E0,-2.922372894E0,-3.112178192E0
1.305486875E0,-1.390757904E0,-3.949686584E0,-3.178190918E0
1.315447875E0,-7.626640320E-1,-4.474495239E0,-2.861898651E0
1.325409875E0,1.519340515E-1,-4.478836212E0,-3.185974731E0
1.335371875E0,2.118245087E0,-4.471800842E0,-3.349883881E0
1.345333875E0,2.063758392E0,-5.513933716E0,-5.933361511E0
1.355295875E0,1.884580994E-1,-6.947951660E0,-7.990533600E0
1.365256875E0,1.394051056E0,-6.755002899E0,-2.136956177E0
1.375218875E0,3.526366882E0,-5.216053162E0,-4.192781067E-1
