"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.604999972E-4,-1.986968079E0,-8.035440216E0,-2.592309265E0
1.022150000E-2,-2.527494049E0,-8.493637390E0,-2.546504517E0
2.018350000E-2,-3.889661407E0,-7.734266510E0,-1.998943176E0
3.014550000E-2,-6.084247742E0,-5.070855103E0,-7.114704895E-1
4.010750000E-2,-7.212601318E0,-5.062622223E0,1.824705505E-1
5.006950000E-2,-7.229965210E0,-6.810238037E0,4.813989258E-1
6.003150000E-2,-6.520590363E0,-8.909173279E0,9.535171509E-2
6.999250000E-2,-5.618416443E0,-9.080117798E0,5.517526245E-1
7.995450000E-2,-5.314548340E0,-1.014904495E1,8.478369141E-1
8.991650000E-2,-4.898264008E0,-1.091290649E1,6.518943787E-1
9.987850000E-2,-4.329596558E0,-1.108295288E1,7.213499451E-1
1.098405000E-1,-5.297483826E0,-1.056727524E1,6.670129395E-1
1.198025000E-1,-6.321204987E0,-7.188501434E0,1.613644409E-1
1.297645000E-1,-5.717510376E0,-6.046077118E0,-2.567161560E-1
1.397255000E-1,-5.934109955E0,-6.228847046E0,-2.104623413E-1
1.496875000E-1,-6.212980042E0,-7.377558289E0,-5.132826233E-1
1.596495000E-1,-6.472989349E0,-7.911647644E0,-9.514215088E-1
1.696115000E-1,-6.184988251E0,-7.563022614E0,-1.302740936E0
1.795735000E-1,-5.646108856E0,-7.776478729E0,-1.793570251E0
1.895355000E-1,-5.365741882E0,-8.995843048E0,-2.161954193E0
1.994965000E-1,-5.478008423E0,-1.036519547E1,-2.245031433E0
2.094585000E-1,-5.653144226E0,-1.089464447E1,-1.955832825E0
2.194205000E-1,-5.067112885E0,-1.004366409E1,-1.792821808E0
2.293825000E-1,-4.438569946E0,-8.661139069E0,-2.329455872E0
2.393445000E-1,-4.316274261E0,-8.237519989E0,-3.528911591E0
2.493065000E-1,-4.323758698E0,-8.474926300E0,-4.392615509E0
2.592675000E-1,-4.193679199E0,-8.742569733E0,-4.539909210E0
2.692295000E-1,-4.250261536E0,-9.320966949E0,-4.143683167E0
2.791915000E-1,-4.298161926E0,-9.292526093E0,-3.125051422E0
2.891535000E-1,-4.292024689E0,-9.115294647E0,-1.914668427E0
2.991155000E-1,-4.272565155E0,-8.707542572E0,-9.207353210E-1
3.090775000E-1,-5.199288025E0,-7.805368652E0,-4.595443726E-1
3.190385000E-1,-5.011728058E0,-5.441634064E0,5.448669434E-2
3.290005000E-1,-5.148543549E0,-6.287674713E0,2.245330811E-3
3.389625000E-1,-5.813460846E0,-6.669530640E0,-2.294728088E-1
3.489245000E-1,-8.093369751E0,-8.022716675E0,-3.953279114E-1
3.588865000E-1,-1.001492386E1,-8.696016541E0,-2.411485291E-1
3.688485000E-1,-8.658444672E0,-8.763975220E0,-2.245330811E-1
3.788095000E-1,-6.304140472E0,-7.360194397E0,-6.939569092E-1
3.887715000E-1,-5.351970520E0,-6.305787048E0,-1.080303497E0
3.987335000E-1,-5.020110626E0,-6.155948639E0,-9.148974609E-1
4.086955000E-1,-5.393733673E0,-6.916666718E0,-1.418001251E0
4.186575000E-1,-5.700445862E0,-7.532785492E0,-1.895358582E0
4.286195000E-1,-5.827381897E0,-7.858657837E0,-2.316283264E0
4.385805000E-1,-5.586682434E0,-8.041727142E0,-2.433489532E0
4.485425000E-1,-4.992867279E0,-8.162975006E0,-1.971849518E0
4.585045000E-1,-4.540507965E0,-8.369096375E0,-1.230141907E0
4.684665000E-1,-4.591402130E0,-8.586145020E0,-4.971162415E-1
4.784285000E-1,-4.693789215E0,-8.466094666E0,-4.460723877E-2
4.883905000E-1,-4.921016693E0,-8.204588470E0,-5.987548828E-3
4.983525000E-1,-5.394182739E0,-7.767796783E0,-3.897894287E-1
