"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.479166768E-5,5.697152710E-1,-9.512269135E0,-8.681945801E-3
9.897875003E-3,5.565426636E-1,-9.589059448E0,-1.172062683E-1
1.985987500E-2,4.873864746E-1,-9.739346924E0,-4.260140991E-1
2.982187500E-2,5.164260864E-1,-9.799671478E0,-7.542814636E-1
3.978387500E-2,5.364843750E-1,-9.743687897E0,-6.656657410E-1
4.974587500E-2,4.634362793E-1,-9.626032562E0,-2.014810181E-1
5.970787500E-2,3.414399719E-1,-9.657766571E0,2.516267395E-1
6.967087500E-2,2.061213684E-1,-9.857451324E0,3.362008667E-1
7.963287500E-2,7.469467163E-2,-1.004725662E1,1.071771240E-1
8.959487500E-2,1.847158813E-1,-1.019470001E1,1.088237000E-1
9.955687500E-2,3.659889221E-1,-1.022179367E1,6.230044556E-1
1.095188750E-1,3.008743286E-1,-1.017973114E1,9.264234924E-1
1.194808750E-1,9.520202637E-2,-9.977801056E0,9.874964905E-1
1.294428750E-1,2.664459229E-1,-9.634714508E0,1.013841705E0
1.394048750E-1,6.354286194E-1,-9.324709167E0,9.722282410E-1
1.493668750E-1,9.208850098E-1,-9.213490448E0,8.255332947E-1
1.593288750E-1,1.218316498E0,-9.288933563E0,6.406677246E-1
1.692908750E-1,1.454974365E0,-9.568252716E0,4.869374084E-1
1.792528750E-1,1.668280792E0,-9.886490936E0,3.025209045E-1
1.892148750E-1,1.690434723E0,-1.008692413E1,6.242019653E-2
1.991778750E-1,1.397344208E0,-1.000474503E1,-2.344125366E-1
2.091398750E-1,1.021026764E0,-9.776769104E0,-4.665797424E-1
2.191018750E-1,8.005352783E-1,-9.646240540E0,-4.282594299E-1
2.290638750E-1,3.763174438E-1,-9.581275635E0,-1.351689148E-1
2.390258750E-1,3.652404785E-2,-9.467063141E0,2.130070496E-1
2.489878750E-1,-1.676513672E-2,-9.389075317E0,5.688171387E-1
2.589498750E-1,1.083746338E-1,-9.300459595E0,8.707392883E-1
2.689118750E-1,7.619155884E-2,-9.233548737E0,1.053808594E0
2.788738750E-1,-1.541793823E-2,-9.137747955E0,1.181044006E0
2.888358750E-1,-1.077758789E-2,-9.092691650E0,1.254990234E0
2.987978750E-1,-4.685256958E-2,-9.201964417E0,1.298699341E0
3.087598750E-1,-1.107696533E-1,-9.538764038E0,1.254690857E0
3.187228750E-1,-1.019380188E-1,-9.914333038E0,1.093326416E0
3.286848750E-1,-3.308120728E-2,-1.020353165E1,8.155041504E-1
3.386468750E-1,-6.765930176E-2,-1.038151154E1,3.311114502E-1
3.486088750E-1,-1.531315613E-1,-1.036369858E1,-2.040257263E-1
3.585708750E-1,-1.350192261E-1,-1.026280838E1,-2.906954956E-1
3.685328750E-1,-1.547781372E-1,-1.019125717E1,7.978408813E-2
3.784948750E-1,-1.989363098E-1,-1.020053787E1,3.899391174E-1
3.884568750E-1,-1.924996948E-1,-1.013826736E1,3.867956543E-1
3.984188750E-1,-9.714797974E-2,-9.889933777E0,1.989363098E-1
4.083808750E-1,3.876937866E-1,-9.735904083E0,-1.434017944E-1
4.183428750E-1,7.698490906E-1,-9.754315796E0,-4.924758911E-1
4.283048750E-1,1.165326691E0,-9.858648834E0,-7.150630188E-1
4.382668750E-1,1.402283936E0,-9.831854553E0,-6.192622375E-1
4.482298750E-1,1.264270935E0,-9.775571594E0,-2.960842896E-1
4.581918750E-1,7.885601807E-1,-9.794132996E0,-1.841171265E-2
4.681538750E-1,2.338137817E-1,-9.756860504E0,2.612068176E-1
4.781158750E-1,-1.492396545E-1,-9.622290344E0,3.841012573E-1
4.880778750E-1,-5.730084229E-1,-9.492659912E0,2.618055725E-1
4.980398750E-1,-8.994795227E-1,-9.485474854E0,-1.064286804E-1
5.080018750E-1,-1.124162292E0,-9.475595398E0,-7.737409973E-1
5.179638750E-1,-1.237177277E0,-9.407037964E0,-1.413061523E0
5.279258750E-1,-1.104553070E0,-9.341174927E0,-1.431473236E0
5.378878750E-1,-8.598120117E-1,-9.416168976E0,-9.788145447E-1
5.478498750E-1,-5.439688110E-1,-9.502838745E0,-6.581813049E-1
5.578118750E-1,-3.391946411E-1,-9.544302521E0,-6.935078430E-1
5.677748750E-1,-1.654060364E-1,-9.480385437E0,-5.721102905E-1
5.777368750E-1,-2.486329651E-1,-9.426946564E0,-2.953358459E-1
5.876988750E-1,-3.499722290E-1,-9.389374695E0,-1.227447510E-1
5.976608750E-1,-3.583547974E-1,-9.373358002E0,-1.399589539E-1
6.076228750E-1,-3.415896606E-1,-9.378746796E0,-2.380050659E-1
6.175848750E-1,-3.171903992E-1,-9.439520416E0,-2.380050659E-1
6.275468750E-1,-2.847079468E-1,-9.508826294E0,-2.176473999E-1
6.375088750E-1,-2.086660767E-1,-9.582473145E0,-2.800675964E-1
6.474708750E-1,-1.276844788E-1,-9.623038788E0,-3.517684937E-1
6.574328750E-1,-2.335144043E-2,-9.602830811E0,-4.532574463E-1
6.673948750E-1,-1.496887207E-3,-9.504485321E0,-5.281018066E-1
6.773568750E-1,3.053649902E-2,-9.466763763E0,-5.786965942E-1
6.873198750E-1,7.409591675E-2,-9.492659912E0,-6.951544189E-1
6.972818750E-1,4.730163574E-2,-9.539961548E0,-8.178991699E-1
7.072438750E-1,-1.576222229E-1,-9.688602448E0,-8.440946960E-1
7.172058750E-1,-3.429368591E-1,-9.999206543E0,-7.622149658E-1
7.271678750E-1,-5.393284607E-1,-1.041713745E1,-6.373745728E-1
7.371298750E-1,-8.244854736E-1,-1.080812439E1,-4.887336731E-1
7.470918750E-1,-1.073866882E0,-1.118863312E1,-2.576142883E-1
7.570538750E-1,-1.194815369E0,-1.150447632E1,-1.127156067E-1
7.670158750E-1,-1.205592957E0,-1.178993271E1,-1.866618347E-1
7.769778750E-1,-1.229842529E0,-1.191402466E1,-7.180567932E-1
7.869398750E-1,-1.276545410E0,-1.185205353E1,-1.667532349E0
7.969018750E-1,-1.397194519E0,-1.195653625E1,-2.400707703E0
8.068648750E-1,-1.599873047E0,-1.231339417E1,-2.744243317E0
8.168268750E-1,-1.921105042E0,-1.280332535E1,-2.631827087E0
