"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.825749998E-3,1.142755002E-1,-5.499809980E-2,3.333020210E-2
1.378775000E-2,1.177852377E-1,-9.174833447E-2,2.166992426E-2
2.374875000E-2,1.178970933E-1,-1.189210936E-1,1.535769925E-2
3.371075000E-2,1.190218627E-1,-1.314876825E-1,7.883612067E-3
4.367275000E-2,1.246310174E-1,-1.269483119E-1,4.893148318E-3
5.363375000E-2,1.354548335E-1,-1.053087562E-1,-2.188172657E-3
6.359575000E-2,1.453375667E-1,-7.458519936E-2,-7.262825500E-3
7.355775000E-2,1.457492709E-1,-4.538178444E-2,-1.619877294E-2
8.351875000E-2,1.414735615E-1,-1.841914468E-2,-2.247158252E-2
9.348075000E-2,1.333168149E-1,9.160103276E-3,-3.372896835E-2
1.034427500E-1,1.254335940E-1,1.379906200E-2,-4.476164654E-2
1.134037500E-1,1.200572550E-1,-6.807023659E-3,-5.320350453E-2
1.233657500E-1,1.181235313E-1,-2.051804215E-2,-6.158233806E-2
1.333277500E-1,1.083008870E-1,-3.568135947E-2,-6.337738037E-2
1.432887500E-1,9.510518610E-2,-4.600403830E-2,-6.347805262E-2
1.532507500E-1,7.859051228E-2,-4.165706411E-2,-6.220242381E-2
1.632127500E-1,5.958220363E-2,-2.997484058E-2,-5.796320364E-2
1.731737500E-1,4.632307217E-2,-1.075066347E-2,-5.006076768E-2
1.831357500E-1,3.657217324E-2,1.032958832E-2,-4.181109369E-2
1.930977500E-1,2.887956053E-2,2.958712727E-2,-3.535160795E-2
2.030587500E-1,2.995095029E-2,2.594152465E-2,-3.389779106E-2
2.130207500E-1,4.337858409E-2,4.989975598E-3,-3.308570758E-2
2.229827500E-1,5.371591449E-2,-4.519640002E-3,-4.446486384E-2
2.329437500E-1,6.104768813E-2,-9.228909621E-4,-5.485849082E-2
2.429057500E-1,5.755494907E-2,-5.539214239E-3,-7.359036803E-2
2.528677500E-1,5.527173355E-2,-1.522252802E-2,-7.072545588E-2
2.628287500E-1,5.051506311E-2,-2.569354512E-2,-8.186598867E-2
2.727907500E-1,2.947387286E-2,-3.366337717E-2,-1.193244085E-1
2.827527500E-1,-1.150764897E-2,-1.053062733E-2,-1.703162193E-1
2.927137500E-1,-4.650380835E-2,5.237533245E-3,-2.088171542E-1
3.026757500E-1,-7.565131038E-2,-1.233666763E-2,-2.116827220E-1
3.126377500E-1,-1.038453132E-1,-2.486554161E-2,-1.652428359E-1
3.225987500E-1,-1.259868294E-1,1.884279028E-2,-1.019935608E-1
3.325607500E-1,-1.480148584E-1,1.415745914E-1,-5.730512366E-2
3.425227500E-1,-1.756009459E-1,2.516552806E-1,-4.275947064E-2
3.524837500E-1,-1.906774789E-1,2.390244752E-1,-2.584470436E-2
3.624457500E-1,-2.218708098E-1,2.035708725E-1,-3.740335628E-2
3.724077500E-1,-2.750078440E-1,1.268953532E-1,-3.297177330E-2
3.823687500E-1,-3.179118931E-1,2.867236920E-2,1.547672041E-2
3.923307500E-1,-3.490212262E-1,-5.058563501E-2,8.611477166E-2
4.022927500E-1,-3.882820904E-1,-9.539932013E-3,1.615850180E-1
4.122537500E-1,-4.571301341E-1,2.209964991E-1,2.152672708E-1
4.222157500E-1,-5.633828640E-1,5.910565853E-1,2.482601106E-1
4.321777500E-1,-6.687086821E-1,8.516935110E-1,2.759082913E-1
4.421387500E-1,-7.364891171E-1,8.603868484E-1,3.327289522E-1
4.521007500E-1,-7.720335722E-1,6.645724773E-1,3.382256031E-1
4.620627500E-1,-8.184508681E-1,4.054594040E-1,3.415561616E-1
4.720237500E-1,-9.110825062E-1,2.041267455E-1,3.386342525E-1
4.819857500E-1,-1.051814914E0,1.536185741E-1,3.134383559E-1
4.919477500E-1,-1.204307675E0,2.667642534E-1,2.829954922E-1
5.019087500E-1,-1.343621373E0,5.062493086E-1,2.451607585E-1
5.118707500E-1,-1.457568407E0,8.139843941E-1,1.983523965E-1
5.218327500E-1,-1.528533459E0,1.060536146E0,1.626372784E-1
5.317937500E-1,-1.573117614E0,1.223508596E0,1.526478380E-1
5.417557500E-1,-1.589614630E0,1.351728082E0,1.808288693E-1
5.517177500E-1,-1.434818268E0,1.323537707E0,2.422886044E-1
5.616787500E-1,-1.150088787E0,1.169738531E0,3.190678060E-1
5.716407500E-1,-9.319286346E-1,1.010189295E0,3.943873942E-1
5.816027500E-1,-8.544858098E-1,8.387988806E-1,4.669739604E-1
5.915637500E-1,-1.006109238E0,8.084352016E-1,5.660942793E-1
6.015257500E-1,-1.317707896E0,8.041363358E-1,6.374054551E-1
6.114877500E-1,-1.431002617E0,4.100948870E-1,6.057915092E-1
6.214488333E-1,-1.314429998E0,-2.017091066E-1,5.196150541E-1
6.314108333E-1,-1.113757968E0,-5.720401406E-1,4.420697689E-1
6.413728333E-1,-9.832806587E-1,-4.102853835E-1,4.182576537E-1
6.513338333E-1,-1.082969546E0,4.438070655E-1,3.996165395E-1
6.612958333E-1,-1.171300769E0,1.093577147E0,2.981460989E-1
6.712578333E-1,-8.881081343E-1,7.839803100E-1,1.607844681E-1
6.812188333E-1,-4.491771162E-1,-1.353014633E-2,8.672010154E-2
6.911808333E-1,-2.385549098E-1,-5.130282640E-1,3.344280273E-2
7.011428333E-1,-2.860899270E-1,-2.868787646E-1,-4.237845540E-2
7.111038333E-1,-3.204225600E-1,1.468505859E-1,-1.363970339E-1
7.210658333E-1,-5.188165605E-2,-2.597684041E-2,-2.201830149E-1
7.310278333E-1,2.516970634E-1,-3.312254548E-1,-2.699039876E-1
7.409888333E-1,4.463070333E-1,-3.760371506E-1,-3.067895770E-1
7.509508333E-1,6.620662212E-1,-2.115019262E-1,-3.583211303E-1
7.609128333E-1,9.238618612E-1,-8.888973296E-2,-4.198150933E-1
7.708738333E-1,1.212748408E0,-2.185077071E-1,-4.590254724E-1
7.808358333E-1,1.459068775E0,-4.567375779E-1,-4.805251658E-1
7.907978333E-1,1.583717704E0,-4.964229167E-1,-5.267610550E-1
8.007588333E-1,1.700104952E0,-4.609336257E-1,-5.946295857E-1
8.107208333E-1,1.872425437E0,-4.175254405E-1,-6.308067441E-1
8.206828333E-1,2.030968904E0,-4.266366363E-1,-6.223730445E-1
8.306438333E-1,2.097198486E0,-4.819844067E-1,-6.086295843E-1
8.406058333E-1,2.018385649E0,-5.023008585E-1,-5.836555362E-1
8.505678333E-1,1.804445505E0,-4.920663238E-1,-5.602921844E-1
8.605298333E-1,1.510916948E0,-4.988536537E-1,-5.504973531E-1
8.704908333E-1,1.224283576E0,-4.714188576E-1,-5.316911340E-1
8.804528333E-1,9.663599133E-1,-4.405522943E-1,-4.972026944E-1
8.904148333E-1,7.229843140E-1,-4.807375371E-1,-4.678813815E-1
9.003758333E-1,4.823254049E-1,-6.359201670E-1,-4.261214137E-1
9.103378333E-1,3.099637032E-1,-8.685283661E-1,-4.079862237E-1
9.202998333E-1,1.945998222E-1,-1.225522995E0,-4.251835942E-1
9.302608333E-1,1.345651448E-1,-1.567913651E0,-4.631081522E-1
9.402228333E-1,1.294087321E-1,-1.823145390E0,-5.102642179E-1
9.501848333E-1,1.660964191E-1,-1.944872141E0,-5.626879334E-1
9.601458333E-1,2.207234502E-1,-1.909712791E0,-6.076538563E-1
9.701078333E-1,2.611497045E-1,-1.764202237E0,-5.982711911E-1
9.800698333E-1,2.440359741E-1,-1.531901360E0,-5.427509546E-1
9.900308333E-1,3.919655085E-2,-9.628025293E-1,-4.334293902E-1
9.999928333E-1,-3.983432353E-1,4.131970182E-2,-2.717366219E-1
1.009954833E0,-7.076394558E-1,8.984798789E-1,-1.398654729E-1
1.019915833E0,-8.317922950E-1,1.425740838E0,-6.848610193E-2
1.029877833E0,-8.521689773E-1,1.614816308E0,-2.876357920E-2
1.039839833E0,-8.076049685E-1,1.505676031E0,7.072182372E-3
1.049800833E0,-7.057754993E-1,1.222473741E0,5.811190605E-2
1.059762833E0,-5.699471235E-1,8.858931661E-1,1.041193455E-1
1.069724833E0,-4.185897112E-1,5.491914749E-1,1.235617027E-1
1.079685833E0,-2.650353014E-1,2.490598857E-1,1.173019484E-1
1.089647833E0,-1.255776435E-1,-2.088838071E-2,1.038685367E-1
1.099609833E0,-1.344205439E-2,-2.379615754E-1,1.076915041E-1
1.109570833E0,8.041717112E-2,-3.707274497E-1,1.270520240E-1
