"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.978124998E-3,1.252228953E-2,-1.929863393E-1,-9.934801608E-3
1.293912500E-2,4.753699899E-2,-2.231780589E-1,6.404491141E-3
2.290112500E-2,9.767579287E-2,-1.515309811E-1,1.106175594E-2
3.286312500E-2,1.531507671E-1,-7.878088206E-2,1.700326800E-2
4.282512500E-2,1.911924779E-1,-5.113594979E-2,2.965818346E-2
5.278712500E-2,2.084380388E-1,-7.280316204E-2,3.539356589E-2
6.274812500E-2,2.014750093E-1,-1.166856959E-1,3.004078940E-2
7.271012500E-2,1.786967218E-1,-1.534080207E-1,2.529263869E-2
8.267212500E-2,1.386762708E-1,-1.767053306E-1,1.942099258E-2
9.263412500E-2,1.026804671E-1,-1.820718646E-1,2.415263280E-2
1.025961250E-1,8.017095178E-2,-1.784458160E-1,7.381156087E-3
1.125581250E-1,8.000583947E-2,-1.880675554E-1,-2.747111954E-3
1.225191250E-1,9.689985961E-2,-1.958694607E-1,2.130861394E-3
1.324811250E-1,1.106455028E-1,-1.728456318E-1,5.953828804E-3
1.424431250E-1,1.160328984E-1,-1.260076761E-1,2.327338094E-3
1.524051250E-1,1.166909635E-1,-9.140282124E-2,-2.751842607E-3
1.623671250E-1,1.104730070E-1,-7.132858038E-2,-6.541730836E-3
1.723281250E-1,1.017170623E-1,-5.156952143E-2,-1.581539214E-2
1.822901250E-1,8.276329190E-2,1.240390167E-2,-1.291058958E-2
1.922521250E-1,7.325766981E-2,5.784728378E-2,-2.622319944E-2
2.022141250E-1,7.636189461E-2,5.093402416E-2,-2.779735811E-2
2.121761250E-1,7.137459517E-2,4.888552055E-2,-3.149515763E-2
2.221371250E-1,5.371164158E-2,7.148953527E-2,-4.625078291E-2
2.320991250E-1,2.758869715E-2,9.707053006E-2,-5.102450028E-2
2.420611250E-1,6.203013472E-3,9.720493853E-2,-3.876248002E-2
2.520231250E-1,-5.338061601E-3,7.409242541E-2,-3.957101703E-2
2.619851250E-1,-2.050394937E-2,9.668814391E-2,-6.535466760E-2
2.719471250E-1,-6.039117649E-2,1.727885008E-1,-8.705623448E-2
2.819081250E-1,-1.174691096E-1,2.965522707E-1,-1.089114621E-1
2.918701250E-1,-1.761063337E-1,4.480278194E-1,-1.332900375E-1
3.018321250E-1,-2.567575574E-1,6.561207175E-1,-1.665541083E-1
3.117941250E-1,-3.111598194E-1,8.104569912E-1,-2.106318176E-1
3.217561250E-1,-2.946631014E-1,8.314020634E-1,-2.384460717E-1
3.317171250E-1,-2.414358407E-1,7.002501488E-1,-2.397148013E-1
3.416791250E-1,-2.017606348E-1,4.201548696E-1,-2.136636972E-1
3.516411250E-1,-1.809722632E-1,4.801059142E-2,-1.547170281E-1
3.616031250E-1,-1.327620745E-1,-3.148935437E-1,-8.149311692E-2
3.715651250E-1,-8.899062127E-2,-4.933580756E-1,-4.698786885E-2
3.815261250E-1,-6.581027806E-2,-3.702231944E-1,-3.228387237E-2
3.914881250E-1,-4.857975990E-3,-1.185968295E-1,-3.025241755E-2
4.014501250E-1,5.151337013E-2,1.423881203E-1,-3.477875888E-2
4.114121250E-1,7.673217356E-2,2.216030508E-1,-3.542537615E-2
4.213741250E-1,7.834190875E-2,3.468763456E-2,-1.219952572E-2
4.313351250E-1,8.945634961E-2,-2.088754773E-1,1.268957835E-2
4.412971250E-1,1.517718285E-1,-3.809025288E-1,1.399858668E-2
4.512591250E-1,2.739243805E-1,-4.684712589E-1,-1.204867149E-3
4.612211250E-1,4.320857227E-1,-4.964922965E-1,-2.382739261E-2
4.711831250E-1,5.853847265E-1,-4.327735007E-1,-5.367770046E-2
4.811451250E-1,6.681343913E-1,-2.626625896E-1,-9.671929479E-2
4.911061250E-1,6.784802675E-1,-1.478222907E-1,-1.414382905E-1
5.010681250E-1,5.966320038E-1,-1.656196564E-1,-1.863863319E-1
5.110301250E-1,4.652244151E-1,-2.992629409E-1,-2.261790186E-1
5.209921250E-1,3.763767481E-1,-4.342715740E-1,-2.510471642E-1
5.309541250E-1,3.731442094E-1,-4.531379342E-1,-2.651264966E-1
