"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.604999972E-4,-8.838919997E-1,-2.122756243E0,1.106813788E0
1.022150000E-2,-1.198533297E0,-2.101607800E0,1.106877804E0
2.018350000E-2,-1.308536530E0,-2.173241138E0,1.282546282E0
3.014550000E-2,-1.252480865E0,-2.535218716E0,1.707591534E0
4.010750000E-2,-1.099809527E0,-3.078975677E0,2.161374331E0
5.006950000E-2,-9.308940768E-1,-3.241889954E0,2.429751635E0
6.003150000E-2,-7.661455870E-1,-2.430938005E0,2.292740583E0
6.999250000E-2,-6.696326137E-1,-1.266050458E0,1.755378008E0
7.995450000E-2,-6.231964231E-1,-3.478377461E-1,1.015548587E0
8.991650000E-2,-5.512897372E-1,2.084060460E-1,3.039787710E-1
9.987850000E-2,-3.636879325E-1,5.339900255E-1,-1.598355174E-1
1.098405000E-1,-1.200016588E-1,6.020206213E-1,-9.456207603E-2
1.198025000E-1,9.034679085E-2,6.548220515E-1,6.534928828E-2
1.297645000E-1,3.807548881E-1,8.158038855E-1,8.865065128E-2
1.397255000E-1,7.477914691E-1,8.593580127E-1,2.982994914E-2
1.496875000E-1,1.066087961E0,6.516814232E-1,-8.401206136E-2
1.596495000E-1,1.302863002E0,5.098891258E-1,-6.768047810E-2
1.696115000E-1,1.346334696E0,4.942232668E-1,-9.355218709E-2
1.795735000E-1,1.114484668E0,6.436382532E-1,-2.511447370E-1
1.895355000E-1,6.999198794E-1,1.019265294E0,-4.253293574E-1
1.994965000E-1,3.406698406E-1,1.405088305E0,-4.595315158E-1
2.094585000E-1,2.256039381E-1,1.598506570E0,-3.259843290E-1
2.194205000E-1,3.029733002E-1,1.506132722E0,-1.684636772E-1
2.293825000E-1,3.199881911E-1,1.009880304E0,-6.487244368E-2
2.393445000E-1,1.928403527E-1,3.463047743E-1,-5.287681241E-3
2.493065000E-1,-3.256259859E-2,-1.368289441E-1,8.582969010E-2
2.592675000E-1,-3.226327598E-1,-4.561243951E-1,1.144709215E-1
2.692295000E-1,-5.211868882E-1,-5.915486813E-1,1.277481019E-1
2.791915000E-1,-5.482968092E-1,-5.715472698E-1,2.351459265E-1
2.891535000E-1,-4.136683941E-1,-5.541801453E-1,4.411396086E-1
2.991155000E-1,-2.764815092E-1,-7.062921524E-1,5.952263474E-1
3.090775000E-1,-4.240230024E-1,-7.277638316E-1,8.075647354E-1
3.190385000E-1,-8.103597760E-1,-1.255762577E-1,9.012888074E-1
3.290005000E-1,-9.435180426E-1,6.952785887E-3,5.516652465E-1
3.389625000E-1,-8.227314353E-1,-2.137312666E-2,-1.808427460E-2
3.489245000E-1,-4.434717596E-1,-1.674581170E-1,-2.931104004E-1
3.588865000E-1,-7.371686399E-3,1.497400925E-2,-1.721821427E-1
3.688485000E-1,2.870246470E-1,2.173222750E-1,-1.149254888E-1
3.788095000E-1,4.334372580E-1,1.006337479E-1,-1.683304012E-1
3.887715000E-1,6.802883148E-1,-2.036453635E-1,-4.070698917E-1
3.987335000E-1,9.337171316E-1,-3.903214931E-1,-6.389079094E-1
4.086955000E-1,1.023917794E0,-5.374556184E-1,-7.443950176E-1
4.186575000E-1,9.090212584E-1,-6.314444542E-1,-6.716670394E-1
4.286195000E-1,5.647432804E-1,-6.666319966E-1,-5.008322001E-1
4.385805000E-1,1.317689568E-1,-5.329759717E-1,-3.082047105E-1
4.485425000E-1,-2.547003329E-1,-2.889461219E-1,-1.576183587E-1
4.585045000E-1,-4.967148006E-1,-5.157004669E-2,-4.439326748E-2
4.684665000E-1,-5.678025484E-1,1.052524671E-1,5.517214909E-2
4.784285000E-1,-4.881098568E-1,1.650239229E-1,1.016264632E-1
4.883905000E-1,-3.359625340E-1,1.629831791E-1,1.139692962E-1
4.983525000E-1,-1.856347919E-1,9.121899307E-2,1.537502557E-1
5.083135000E-1,-5.184087157E-2,-3.077948652E-2,1.869056523E-1
5.182755000E-1,5.610530078E-2,-1.254772395E-1,1.630629003E-1
5.282375000E-1,9.958361834E-2,-2.272699028E-1,1.614529788E-1
5.381995000E-1,3.312496468E-2,-3.556332290E-1,1.689572334E-1
5.481615000E-1,-1.411128938E-1,-4.818005562E-1,1.657667905E-1
5.581235000E-1,-3.618790805E-1,-4.924281538E-1,1.377652586E-1
5.680845000E-1,-4.793813229E-1,-2.577851713E-1,9.744883329E-2
5.780465000E-1,-5.572902560E-1,-1.396190971E-1,1.520723850E-1
5.880085000E-1,-5.869891644E-1,-6.064563617E-2,1.353877634E-1
5.979705000E-1,-5.872126222E-1,1.579587348E-2,5.966584012E-2
6.079325000E-1,-5.620744228E-1,1.787493378E-1,-3.940048814E-2
6.178945000E-1,-6.273903251E-1,1.762454212E-1,1.947081834E-2
6.278555000E-1,-8.055289388E-1,-4.110807925E-2,1.375116110E-1
6.378175000E-1,-9.234707355E-1,-5.496477336E-2,1.283809543E-1
6.477795000E-1,-9.632261395E-1,1.003867015E-1,7.227194309E-2
6.577415000E-1,-9.634847045E-1,1.958109587E-1,4.611571133E-2
6.677035000E-1,-9.446875453E-1,2.279119790E-1,1.163812913E-2
6.776655000E-1,-9.177497029E-1,2.112914473E-1,-1.157504786E-2
6.876275000E-1,-8.723022342E-1,2.465628982E-1,-4.167984799E-2
6.975885000E-1,-8.207061291E-1,3.172623813E-1,-6.476279348E-2
7.075505000E-1,-7.629976869E-1,4.178129137E-1,-1.090318635E-1
7.175125000E-1,-7.297508121E-1,5.315397382E-1,-1.532595158E-1
7.274745000E-1,-7.301054001E-1,6.585155725E-1,-1.913508326E-1
