"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-6.479166768E-5,-1.973180845E-2,7.217934728E-2,-1.703319885E-2
9.897875003E-3,-8.181145415E-3,1.428548396E-1,-4.080648068E-3
1.985987500E-2,-1.827313565E-2,2.075844854E-1,2.135961689E-2
2.982187500E-2,-2.929356322E-2,2.501891851E-1,3.733698279E-2
3.978387500E-2,1.369538950E-3,2.344476730E-1,5.476192385E-2
4.974587500E-2,7.412603498E-2,1.568053365E-1,8.829059452E-2
5.970787500E-2,1.455275267E-1,4.880506173E-2,1.391088814E-1
6.967087500E-2,1.719775200E-1,-2.678956650E-2,1.783156842E-1
7.963287500E-2,1.536273211E-1,-4.684907943E-2,1.696103662E-1
8.959487500E-2,1.421677321E-1,-7.163378596E-2,9.622829407E-2
9.955687500E-2,1.432735175E-1,-9.634691477E-2,-6.748128217E-3
1.095188750E-1,1.294064373E-1,-7.717268914E-2,-7.532159239E-2
1.194808750E-1,1.002070978E-1,-4.730907828E-2,-9.192131460E-2
1.294428750E-1,7.833162695E-2,-7.675617933E-2,-9.970253706E-2
1.394048750E-1,5.861167982E-2,-1.334433854E-1,-1.024687961E-1
1.493668750E-1,4.496058077E-2,-1.779479980E-1,-9.378182888E-2
1.593288750E-1,4.634249210E-2,-1.718317717E-1,-8.375313133E-2
1.692908750E-1,7.000068575E-2,-1.389486641E-1,-7.769577205E-2
1.792528750E-1,1.037608609E-1,-8.828626573E-2,-7.136528939E-2
1.892148750E-1,1.233252361E-1,-3.133057058E-2,-3.250524402E-2
1.991778750E-1,1.193462089E-1,-2.014302462E-2,4.073902592E-2
2.091398750E-1,9.700042009E-2,-7.515753806E-2,9.326401353E-2
2.191018750E-1,7.972200215E-2,-1.616042852E-1,1.094735563E-1
2.290638750E-1,7.063823193E-2,-2.196934074E-1,1.168521121E-1
2.390258750E-1,7.093821466E-2,-2.577027678E-1,1.124054864E-1
2.489878750E-1,7.414226234E-2,-2.768218517E-1,7.499500364E-2
2.589498750E-1,6.848105043E-2,-2.681185603E-1,2.214397490E-2
2.689118750E-1,4.230164364E-2,-2.295357585E-1,-1.317699719E-2
2.788738750E-1,1.138818450E-2,-1.694387048E-1,-3.668447956E-2
2.888358750E-1,7.401104085E-5,-9.674452990E-2,-6.519548595E-2
2.987978750E-1,1.016419567E-2,9.221848100E-3,-9.414218366E-2
3.087598750E-1,3.980304673E-2,1.425804347E-1,-1.122061387E-1
3.187228750E-1,7.636725157E-2,2.617807388E-1,-1.198887676E-1
3.286848750E-1,9.198535979E-2,3.428553641E-1,-1.150548607E-1
3.386468750E-1,5.916080251E-2,3.869814873E-1,-9.789759666E-2
3.486088750E-1,-1.022706088E-2,3.683920801E-1,-8.702657372E-2
3.585708750E-1,-5.244211853E-2,3.069005609E-1,-7.873865962E-2
3.685328750E-1,-3.782669082E-2,2.528634369E-1,-7.199847698E-2
3.784948750E-1,2.272659447E-3,1.960392296E-1,-5.394590646E-2
3.884568750E-1,3.787406161E-2,1.185018271E-1,-3.015083075E-2
3.984188750E-1,5.279510468E-2,2.981206961E-2,-1.841034368E-2
4.083808750E-1,4.910955578E-2,-3.652487323E-2,-2.058001980E-2
4.183428750E-1,4.111092538E-2,-9.210823476E-2,-2.047275193E-2
4.283048750E-1,5.621717498E-2,-1.778407246E-1,-3.710179776E-2
4.382668750E-1,1.063353792E-1,-2.808293998E-1,-5.207278952E-2
4.482298750E-1,1.635382175E-1,-3.270834684E-1,-3.370443732E-2
4.581918750E-1,2.145769298E-1,-2.694298029E-1,5.903988145E-3
4.681538750E-1,2.642158568E-1,-1.555631459E-1,1.731723174E-2
4.781158750E-1,2.929901779E-1,-2.480079234E-2,2.443408966E-2
4.880778750E-1,2.990203798E-1,9.055242687E-2,3.568061814E-2
4.980398750E-1,2.849727571E-1,1.481768191E-1,4.180416837E-2
5.080018750E-1,2.369735539E-1,1.285962015E-1,4.850921035E-2
5.179638750E-1,1.773409396E-1,5.592544749E-2,3.607470170E-2
5.279258750E-1,1.716763973E-1,-3.829959035E-2,1.696865261E-2
5.378878750E-1,2.306525707E-1,-1.409816742E-1,9.572880343E-3
5.478498750E-1,2.802557945E-1,-1.907849163E-1,1.677966118E-2
5.578118750E-1,2.934927642E-1,-2.071293741E-1,1.097077224E-2
5.677748750E-1,2.928889990E-1,-2.322834581E-1,1.408800203E-2
5.777368750E-1,3.052827418E-1,-2.560517788E-1,3.071313910E-2
5.876988750E-1,3.307995498E-1,-2.640495002E-1,3.631056845E-2
5.976608750E-1,3.680644035E-1,-2.755258977E-1,2.507854626E-2
6.076228750E-1,4.010234177E-1,-2.977518439E-1,5.335999653E-3
6.175848750E-1,4.388665259E-1,-3.259960413E-1,-9.486150928E-3
6.275468750E-1,4.680329263E-1,-3.688143194E-1,-2.136757784E-2
6.375088750E-1,4.941871166E-1,-4.057290852E-1,-3.170073032E-2
6.474708750E-1,5.185526609E-1,-4.465151429E-1,-4.855960235E-2
6.574328750E-1,5.373782516E-1,-4.770151973E-1,-5.859042704E-2
6.673948750E-1,5.523965955E-1,-4.887624085E-1,-5.856486410E-2
6.773568750E-1,5.655506849E-1,-4.959882498E-1,-5.822986737E-2
6.873198750E-1,5.703387856E-1,-5.065340996E-1,-5.692571774E-2
6.972818750E-1,5.689103603E-1,-5.224897861E-1,-4.825840145E-2
7.072438750E-1,5.759747028E-1,-5.445274115E-1,-2.741464041E-2
7.172058750E-1,5.980834961E-1,-5.770854950E-1,3.763550427E-3
7.271678750E-1,6.181781292E-1,-6.073496938E-1,3.649912402E-2
7.371298750E-1,6.322144866E-1,-6.331972480E-1,7.520636916E-2
7.470918750E-1,6.268268824E-1,-6.261534095E-1,1.021391824E-1
7.570538750E-1,6.028823256E-1,-5.670837164E-1,1.081822813E-1
7.670158750E-1,5.528678894E-1,-4.691707492E-1,9.237562120E-2
7.769778750E-1,4.490653574E-1,-3.656426668E-1,6.855896860E-2
7.869398750E-1,2.896911502E-1,-2.809466720E-1,5.732043087E-2
7.969018750E-1,1.236707866E-1,-2.338969260E-1,6.930255145E-2
8.068648750E-1,8.448320441E-3,-2.465946078E-1,1.115296334E-1
8.168268750E-1,-4.448565841E-2,-3.059849441E-1,1.919247508E-1
8.267888750E-1,-9.171362221E-2,-3.918623030E-1,2.863202393E-1
8.367508750E-1,-1.683342308E-1,-4.720882475E-1,3.927319646E-1
8.467128750E-1,-2.800559700E-1,-4.989355803E-1,5.018472672E-1
8.566748750E-1,-4.489495456E-1,-4.838625193E-1,5.966340303E-1
8.666368750E-1,-7.050241828E-1,-4.674925804E-1,7.006962299E-1
8.765988750E-1,-9.946649671E-1,-4.570389092E-1,8.131838441E-1
8.865608750E-1,-1.220599055E0,-4.407550097E-1,9.052266479E-1
8.965228750E-1,-1.369422913E0,-3.496841192E-1,9.602872133E-1
9.064848750E-1,-1.459125161E0,-1.691601425E-1,9.512225986E-1
9.164478750E-1,-1.674753308E0,-1.461082022E-3,8.637104630E-1
9.264098750E-1,-2.249339104E0,1.057804152E-1,6.793075800E-1
9.363718750E-1,-3.104994535E0,2.123304307E-1,4.494764209E-1
9.463338750E-1,-3.913759947E0,3.160400391E-1,1.853078604E-1
9.562958750E-1,-4.312943935E0,5.188229680E-1,9.624528885E-2
9.662578750E-1,-3.912155151E0,6.907209754E-1,2.196279317E-1
9.762198750E-1,-2.910636425E0,5.538697839E-1,3.968738616E-1
9.861818750E-1,-1.834393978E0,3.347443640E-1,4.229565859E-1
